Atk_Attack,Atk_SpAtk,Atk_Type1,Atk_Type2,Def_Defense,Def_SpDef,Def_Type1,Def_Type2,Move_Power,Move_Type,Move_Category,Damage
90,114,Grass,Poison,135,139,Fairy,Dark,90,Poison,Special,91
99,64,Ground,Mono,67,56,Flying,Dragon,95,Fairy,Special,94
68,135,Ghost,Mono,117,80,Poison,Mono,80,Ghost,Special,80
114,118,Fairy,Mono,150,114,Fighting,Mono,95,Fairy,Special,122
106,54,Dark,Mono,62,162,Normal,Mono,120,Fighting,Physical,184
83,54,Psychic,Mono,128,128,Grass,Dragon,80,Psychic,Physical,35
114,118,Fairy,Mono,59,52,Ground,Mono,95,Fairy,Special,138
97,70,Ghost,Normal,102,79,Fire,Ground,120,Fighting,Physical,48
156,131,Ice,Mono,64,101,Water,Ice,120,Fighting,Physical,249
125,121,Dragon,Mono,147,78,Normal,Mono,85,Dragon,Special,78
66,151,Ice,Bug,64,101,Water,Ice,90,Grass,Special,114
106,54,Dark,Mono,137,88,Water,Mono,80,Dark,Physical,37
53,96,Normal,Fire,124,78,Fighting,Fairy,90,Fire,Special,64
140,85,Ice,Ground,150,158,Psychic,Poison,100,Ground,Physical,121
106,68,Grass,Normal,128,87,Rock,Mono,90,Grass,Physical,88
91,133,Dragon,Mono,101,79,Bug,Mono,90,Fire,Special,133
148,81,Normal,Mono,140,103,Flying,Mono,85,Normal,Physical,53
80,97,Poison,Bug,139,93,Ghost,Grass,90,Bug,Special,58
125,61,Fighting,Ice,157,90,Grass,Poison,90,Ice,Special,84
106,68,Grass,Normal,131,82,Bug,Mono,90,Normal,Special,44
122,101,Fairy,Rock,148,63,Poison,Bug,80,Rock,Special,149
53,104,Fairy,Flying,127,95,Steel,Water,120,Fighting,Physical,41
52,96,Normal,Mono,119,88,Ghost,Mono,90,Ground,Special,43
53,96,Normal,Fire,152,94,Rock,Mono,120,Fighting,Physical,40
53,69,Psychic,Mono,128,87,Rock,Mono,90,Psychic,Special,44
64,134,Flying,Mono,124,113,Normal,Mono,75,Flying,Special,60
60,78,Psychic,Mono,124,78,Fighting,Fairy,90,Psychic,Special,123
78,162,Water,Mono,79,138,Water,Psychic,90,Bug,Special,90
110,67,Fighting,Mono,57,130,Psychic,Mono,120,Fighting,Physical,67
114,118,Fairy,Mono,140,87,Psychic,Electric,95,Fairy,Special,87
105,94,Fairy,Mono,110,113,Rock,Flying,75,Electric,Physical,66
102,117,Ghost,Mono,139,93,Ghost,Grass,80,Ghost,Special,122
99,120,Poison,Mono,140,103,Flying,Mono,90,Poison,Special,66
127,62,Psychic,Electric,140,103,Flying,Mono,75,Electric,Physical,83
64,134,Flying,Mono,93,129,Ghost,Mono,120,Flying,Physical,57
128,94,Fire,Normal,102,91,Flying,Mono,75,Electric,Physical,86
106,56,Flying,Mono,139,100,Water,Fairy,120,Flying,Physical,59
66,120,Fairy,Mono,133,111,Flying,Rock,80,Steel,Special,75
79,97,Flying,Mono,128,128,Grass,Dragon,120,Flying,Physical,100
103,111,Bug,Mono,130,72,Ice,Bug,90,Bug,Special,85
169,126,Poison,Mono,130,120,Psychic,Mono,80,Poison,Physical,69
127,62,Psychic,Electric,153,54,Psychic,Mono,75,Electric,Physical,43
129,118,Rock,Flying,90,98,Flying,Mono,80,Rock,Special,125
73,91,Flying,Mono,110,113,Rock,Flying,120,Flying,Physical,23
78,162,Water,Mono,130,72,Ice,Bug,90,Water,Special,124
72,117,Flying,Rock,140,87,Psychic,Electric,80,Dark,Physical,34
107,128,Ghost,Grass,71,43,Psychic,Mono,90,Grass,Special,164
90,114,Grass,Poison,101,79,Bug,Mono,90,Poison,Special,77
83,54,Psychic,Mono,153,54,Psychic,Mono,90,Bug,Special,72
99,64,Ground,Mono,88,54,Electric,Mono,100,Ground,Physical,151
101,86,Water,Fairy,131,82,Bug,Mono,120,Flying,Physical,84
51,98,Fighting,Fairy,103,82,Rock,Bug,95,Fairy,Special,76
152,49,Ice,Mono,149,112,Fairy,Mono,75,Ice,Physical,50
105,94,Fairy,Mono,119,88,Ghost,Mono,95,Fairy,Special,69
102,117,Ghost,Mono,149,112,Fairy,Mono,80,Ghost,Special,53
105,94,Fairy,Mono,102,91,Flying,Mono,75,Electric,Physical,69
125,121,Dragon,Mono,128,128,Grass,Dragon,85,Dragon,Special,108
75,136,Fairy,Dark,72,77,Dark,Mono,95,Fairy,Special,202
102,117,Ghost,Mono,150,158,Psychic,Poison,80,Ghost,Special,74
63,91,Psychic,Poison,101,79,Bug,Mono,80,Rock,Special,72
103,111,Bug,Mono,128,132,Fighting,Electric,120,Flying,Physical,41
64,91,Psychic,Mono,52,154,Dragon,Bug,120,Flying,Physical,122
102,87,Water,Mono,57,130,Psychic,Mono,80,Dark,Physical,111
129,118,Rock,Flying,55,86,Poison,Mono,90,Ground,Special,104
125,121,Dragon,Mono,127,95,Steel,Water,85,Dragon,Special,36
53,96,Normal,Fire,70,96,Ice,Mono,90,Fire,Special,116
109,89,Poison,Mono,135,139,Fairy,Dark,80,Poison,Physical,90
148,81,Normal,Mono,102,79,Fire,Ground,85,Normal,Physical,81
94,165,Bug,Poison,131,82,Bug,Mono,80,Dark,Special,64
102,87,Water,Mono,128,87,Rock,Mono,90,Water,Special,104
103,69,Flying,Dragon,59,87,Poison,Mono,85,Normal,Physical,63
108,148,Dark,Mono,70,96,Ice,Mono,80,Dark,Special,78
97,70,Ghost,Normal,146,145,Normal,Fire,120,Fighting,Physical,63
53,104,Fairy,Flying,64,101,Water,Ice,120,Fighting,Physical,88
53,104,Fairy,Flying,62,162,Normal,Mono,120,Fighting,Physical,79
106,56,Flying,Mono,103,82,Rock,Bug,120,Flying,Physical,78
79,97,Flying,Mono,61,77,Fairy,Mono,120,Flying,Physical,105
99,120,Poison,Mono,79,138,Water,Psychic,90,Grass,Special,64
128,94,Fire,Normal,124,78,Fighting,Fairy,90,Normal,Special,71
49,124,Bug,Mono,117,80,Poison,Mono,90,Bug,Special,41
102,117,Ghost,Mono,130,110,Fairy,Rock,100,Ground,Physical,70
75,136,Fairy,Dark,71,43,Psychic,Mono,95,Fairy,Special,192
128,94,Fire,Normal,88,54,Electric,Mono,90,Normal,Special,98
148,81,Normal,Mono,90,98,Flying,Mono,85,Normal,Physical,81
72,80,Steel,Water,102,124,Fighting,Ice,80,Steel,Physical,75
90,114,Grass,Poison,104,110,Grass,Normal,90,Poison,Special,114
94,165,Bug,Poison,135,139,Fairy,Dark,80,Poison,Physical,72
109,89,Poison,Mono,148,63,Poison,Bug,80,Dark,Special,48
73,91,Flying,Mono,130,120,Psychic,Mono,90,Bug,Special,95
113,87,Ice,Flying,104,110,Grass,Normal,120,Flying,Physical,171
79,69,Water,Psychic,101,95,Ice,Flying,75,Rock,Physical,91
98,96,Fire,Bug,128,128,Grass,Dragon,90,Bug,Special,92
143,97,Dragon,Bug,153,54,Psychic,Mono,90,Bug,Special,201
140,85,Ice,Ground,61,77,Fairy,Mono,100,Ground,Physical,131
125,121,Dragon,Mono,153,54,Psychic,Mono,85,Dragon,Special,122
96,108,Normal,Mono,102,79,Fire,Ground,90,Ground,Special,106
98,96,Fire,Bug,146,145,Normal,Fire,120,Fighting,Physical,64
128,71,Grass,Dragon,72,77,Dark,Mono,90,Water,Physical,67
103,111,Bug,Mono,110,113,Rock,Flying,75,Ice,Physical,60
64,134,Flying,Mono,104,110,Grass,Normal,75,Flying,Special,113
97,70,Ghost,Normal,104,110,Grass,Normal,120,Fighting,Physical,97
106,56,Flying,Mono,74,54,Fire,Bug,120,Flying,Physical,214
105,94,Fairy,Mono,110,113,Rock,Flying,75,Electric,Physical,56
125,121,Dragon,Mono,124,113,Normal,Mono,85,Dragon,Special,56
66,120,Fairy,Mono,103,82,Rock,Bug,80,Steel,Special,97
103,69,Flying,Dragon,88,79,Bug,Mono,75,Flying,Special,81
125,61,Fighting,Ice,130,120,Psychic,Mono,120,Fighting,Physical,33
102,87,Water,Mono,52,154,Dragon,Bug,80,Dark,Physical,70
90,114,Grass,Poison,103,112,Ice,Grass,90,Poison,Special,108
66,120,Fairy,Mono,101,72,Ghost,Normal,95,Fairy,Special,102
118,99,Fire,Ground,77,72,Flying,Electric,75,Ice,Physical,104
125,121,Dragon,Mono,153,54,Psychic,Mono,85,Dragon,Special,121
99,64,Ground,Mono,135,139,Fairy,Dark,100,Ground,Physical,50
113,87,Ice,Flying,95,134,Dark,Fairy,120,Flying,Physical,90
66,162,Dragon,Ground,153,54,Psychic,Mono,90,Ground,Special,156
106,54,Dark,Mono,130,72,Ice,Bug,80,Dark,Physical,44
57,130,Fighting,Electric,103,132,Fairy,Mono,80,Rock,Special,34
91,133,Dragon,Mono,65,58,Flying,Mono,85,Dragon,Special,121
118,99,Fire,Ground,101,72,Ghost,Normal,90,Ground,Special,80
109,89,Poison,Mono,79,138,Water,Psychic,75,Electric,Physical,133
78,162,Water,Mono,146,145,Normal,Fire,90,Water,Special,120
109,89,Poison,Mono,59,87,Poison,Mono,75,Electric,Physical,57
66,151,Ice,Bug,102,124,Fighting,Ice,90,Grass,Special,43
154,81,Electric,Mono,103,112,Ice,Grass,80,Steel,Physical,91
53,104,Fairy,Flying,165,124,Flying,Mono,95,Fairy,Special,47
118,99,Fire,Ground,126,149,Fairy,Flying,75,Ice,Physical,55
96,108,Normal,Mono,140,87,Psychic,Electric,90,Ground,Special,94
103,111,Bug,Mono,144,106,Dragon,Mono,90,Bug,Special,54
148,81,Normal,Mono,137,88,Water,Mono,85,Normal,Physical,54
53,96,Normal,Fire,126,149,Fairy,Flying,90,Fire,Special,38
72,80,Steel,Water,101,79,Bug,Mono,90,Water,Special,61
79,69,Water,Psychic,82,163,Poison,Mono,90,Water,Physical,54
137,43,Flying,Mono,146,145,Normal,Fire,120,Flying,Physical,76
53,69,Psychic,Mono,70,96,Ice,Mono,90,Psychic,Special,42
107,128,Ghost,Grass,127,95,Steel,Water,90,Ground,Special,95
83,54,Psychic,Mono,153,54,Psychic,Mono,90,Bug,Special,77
118,99,Fire,Ground,126,149,Fairy,Flying,75,Ice,Physical,56
152,49,Ice,Mono,140,87,Psychic,Electric,75,Ice,Physical,48
148,81,Normal,Mono,101,79,Bug,Mono,85,Normal,Physical,71
96,108,Normal,Mono,130,120,Psychic,Mono,90,Normal,Special,54
63,91,Psychic,Poison,150,114,Fighting,Mono,95,Fairy,Special,67
136,73,Ghost,Mono,165,124,Flying,Mono,80,Rock,Special,44
91,133,Dragon,Mono,53,171,Water,Mono,80,Dragon,Physical,82
52,96,Normal,Mono,128,128,Grass,Dragon,90,Normal,Special,39
114,118,Fairy,Mono,110,113,Rock,Flying,80,Steel,Physical,68
97,70,Ghost,Normal,90,98,Flying,Mono,70,Ghost,Physical,51
139,120,Poison,Mono,140,87,Psychic,Electric,90,Ground,Special,97
154,81,Electric,Mono,131,82,Bug,Mono,90,Electric,Special,52
101,86,Water,Fairy,114,58,Ice,Mono,90,Water,Special,90
107,128,Ghost,Grass,101,72,Ghost,Normal,90,Grass,Special,101
129,118,Rock,Flying,79,138,Water,Psychic,80,Rock,Special,45
64,134,Flying,Mono,55,86,Poison,Mono,90,Ground,Special,110
118,99,Fire,Ground,62,162,Normal,Mono,75,Ice,Physical,59
68,135,Ghost,Mono,114,58,Ice,Mono,80,Ghost,Special,118
102,87,Water,Mono,110,113,Rock,Flying,90,Water,Physical,98
125,61,Fighting,Ice,79,138,Water,Psychic,120,Fighting,Physical,60
127,62,Psychic,Electric,110,113,Rock,Flying,75,Electric,Physical,106
105,94,Fairy,Mono,88,79,Bug,Mono,95,Fairy,Special,66
63,91,Psychic,Poison,101,72,Ghost,Normal,95,Fairy,Special,52
114,118,Fairy,Mono,130,110,Fairy,Rock,80,Steel,Physical,124
125,61,Fighting,Ice,130,110,Fairy,Rock,120,Fighting,Physical,73
97,70,Ghost,Normal,150,158,Psychic,Poison,70,Ghost,Physical,54
99,120,Poison,Mono,124,113,Normal,Mono,90,Poison,Special,61
53,96,Normal,Fire,107,78,Fire,Ghost,100,Ground,Physical,46
154,116,Flying,Mono,152,94,Rock,Mono,90,Grass,Special,100
113,80,Dark,Fairy,101,95,Ice,Flying,90,Fairy,Physical,64
136,73,Ghost,Mono,75,52,Flying,Mono,80,Rock,Special,96
90,114,Grass,Poison,139,100,Water,Fairy,90,Grass,Special,136
136,73,Ghost,Mono,102,79,Fire,Ground,70,Ghost,Physical,58
57,130,Fighting,Electric,104,110,Grass,Normal,80,Fighting,Special,114
75,108,Flying,Mono,128,128,Grass,Dragon,120,Flying,Physical,91
169,126,Poison,Mono,133,111,Flying,Rock,90,Water,Special,85
107,128,Ghost,Grass,132,149,Ghost,Mono,70,Ghost,Physical,74
91,133,Dragon,Mono,72,77,Dark,Mono,85,Dragon,Special,89
79,97,Flying,Mono,75,52,Flying,Mono,75,Flying,Special,83
66,120,Fairy,Mono,104,110,Grass,Normal,95,Fairy,Special,64
140,85,Ice,Ground,146,145,Normal,Fire,100,Ground,Physical,120
137,43,Flying,Mono,71,43,Psychic,Mono,120,Flying,Physical,143
148,79,Dark,Mono,102,124,Fighting,Ice,75,Electric,Physical,44
90,114,Grass,Poison,74,54,Fire,Bug,90,Poison,Special,118
159,85,Rock,Mono,70,96,Ice,Mono,75,Rock,Physical,218
128,94,Fire,Normal,124,78,Fighting,Fairy,90,Normal,Special,71
51,98,Fighting,Fairy,102,124,Fighting,Ice,95,Fairy,Special,101
106,56,Flying,Mono,150,158,Psychic,Poison,120,Flying,Physical,54
122,101,Fairy,Rock,146,145,Normal,Fire,75,Rock,Physical,83
73,91,Flying,Mono,102,79,Fire,Ground,75,Flying,Special,55
68,135,Ghost,Mono,88,79,Bug,Mono,80,Ghost,Special,85
144,117,Water,Ice,150,158,Psychic,Poison,100,Ground,Physical,77
127,62,Psychic,Electric,74,54,Fire,Bug,75,Electric,Physical,114
52,96,Normal,Mono,82,63,Rock,Mono,90,Ground,Special,117
51,98,Fighting,Fairy,110,113,Rock,Flying,90,Electric,Special,65
127,62,Psychic,Electric,53,171,Water,Mono,75,Electric,Physical,223
106,56,Flying,Mono,152,94,Rock,Mono,120,Flying,Physical,24
72,117,Flying,Rock,140,134,Flying,Mono,75,Flying,Special,40
52,96,Normal,Mono,64,101,Water,Ice,90,Normal,Special,57
63,91,Psychic,Poison,67,56,Flying,Dragon,95,Fairy,Special,129
118,99,Fire,Ground,72,77,Dark,Mono,90,Ground,Special,74
139,120,Poison,Mono,137,88,Water,Mono,90,Poison,Special,75
122,101,Fairy,Rock,124,113,Normal,Mono,75,Rock,Physical,47
94,165,Bug,Poison,127,95,Steel,Water,120,Fighting,Physical,82
79,69,Water,Psychic,137,88,Water,Mono,80,Ghost,Special,28
75,108,Flying,Mono,153,54,Psychic,Mono,75,Flying,Special,91
137,43,Flying,Mono,103,112,Ice,Grass,120,Flying,Physical,211
73,91,Flying,Mono,103,82,Rock,Bug,120,Flying,Physical,53
129,118,Rock,Flying,66,100,Dragon,Ground,75,Flying,Special,59
70,131,Rock,Mono,148,63,Poison,Bug,80,Rock,Special,193
68,135,Ghost,Mono,117,135,Bug,Poison,80,Ghost,Special,52
97,70,Ghost,Normal,107,78,Fire,Ghost,80,Ghost,Special,126
152,49,Ice,Mono,150,114,Fighting,Mono,75,Ice,Physical,51
125,61,Fighting,Ice,130,72,Ice,Bug,120,Fighting,Physical,72
88,149,Rock,Bug,148,124,Ice,Ground,80,Ghost,Special,41
113,87,Ice,Flying,102,124,Fighting,Ice,120,Flying,Physical,158
119,55,Bug,Mono,101,72,Ghost,Normal,80,Dark,Physical,76
155,81,Rock,Mono,72,77,Dark,Mono,90,Fairy,Physical,168
139,120,Poison,Mono,101,79,Bug,Mono,120,Flying,Physical,143
97,70,Ghost,Normal,102,124,Fighting,Ice,120,Fighting,Physical,88
79,69,Water,Psychic,148,63,Poison,Bug,90,Water,Special,67
83,54,Psychic,Mono,102,124,Fighting,Ice,80,Psychic,Physical,87
113,80,Dark,Fairy,64,101,Water,Ice,90,Fairy,Physical,93
159,85,Rock,Mono,82,63,Rock,Mono,75,Rock,Physical,85
103,111,Bug,Mono,157,90,Grass,Poison,90,Bug,Special,109
53,69,Psychic,Mono,102,79,Fire,Ground,90,Psychic,Special,47
66,162,Dragon,Ground,104,110,Grass,Normal,90,Ice,Special,108
128,71,Grass,Dragon,146,145,Normal,Fire,90,Water,Physical,64
113,87,Ice,Flying,52,154,Dragon,Bug,120,Flying,Physical,341
169,126,Poison,Mono,52,154,Dragon,Bug,90,Fairy,Physical,239
53,96,Normal,Fire,61,75,Ground,Mono,90,Fire,Special,69
118,99,Fire,Ground,128,132,Fighting,Electric,90,Ground,Special,89
85,128,Flying,Electric,140,87,Psychic,Electric,85,Dragon,Special,55
51,98,Fighting,Fairy,65,58,Flying,Mono,90,Electric,Special,119
128,94,Fire,Normal,144,106,Dragon,Mono,90,Normal,Special,54
118,99,Fire,Ground,149,112,Fairy,Mono,80,Steel,Special,63
53,104,Fairy,Flying,140,87,Psychic,Electric,95,Fairy,Special,69
91,133,Dragon,Mono,133,123,Dark,Mono,85,Dragon,Special,56
53,104,Fairy,Flying,149,112,Fairy,Mono,95,Fairy,Special,57
72,117,Flying,Rock,144,106,Dragon,Mono,75,Flying,Special,55
122,101,Fairy,Rock,128,128,Grass,Dragon,80,Dragon,Physical,65
102,117,Ghost,Mono,130,110,Fairy,Rock,100,Ground,Physical,66
117,130,Fire,Ghost,79,138,Water,Psychic,70,Ghost,Physical,133
125,121,Dragon,Mono,72,77,Dark,Mono,80,Dragon,Physical,83
90,114,Grass,Poison,102,124,Fighting,Ice,120,Fighting,Physical,83
99,120,Poison,Mono,128,132,Fighting,Electric,90,Poison,Special,54
156,131,Ice,Mono,57,130,Psychic,Mono,80,Bug,Physical,186
88,149,Rock,Bug,65,58,Flying,Mono,75,Rock,Physical,133
83,54,Psychic,Mono,72,77,Dark,Mono,90,Bug,Special,51
63,91,Psychic,Poison,62,162,Normal,Mono,80,Poison,Physical,50
129,118,Rock,Flying,132,149,Ghost,Mono,80,Rock,Special,61
152,49,Ice,Mono,153,54,Psychic,Mono,90,Bug,Special,74
53,96,Normal,Fire,114,76,Dark,Mono,90,Fire,Special,67
155,81,Rock,Mono,150,158,Psychic,Poison,80,Dark,Physical,68
136,73,Ghost,Mono,119,88,Ghost,Mono,70,Ghost,Physical,98
117,130,Fire,Ghost,67,56,Flying,Dragon,90,Psychic,Special,89
83,54,Psychic,Mono,149,112,Fairy,Mono,80,Psychic,Physical,30
91,133,Dragon,Mono,59,87,Poison,Mono,85,Dragon,Special,77
102,117,Ghost,Mono,128,128,Grass,Dragon,80,Ghost,Special,69
114,118,Fairy,Mono,102,79,Fire,Ground,85,Dragon,Special,54
98,96,Fire,Bug,79,138,Water,Psychic,80,Bug,Physical,120
106,68,Grass,Normal,66,100,Dragon,Ground,80,Dragon,Physical,98
64,91,Psychic,Mono,117,135,Bug,Poison,90,Psychic,Special,80
53,104,Fairy,Flying,102,124,Fighting,Ice,95,Fairy,Special,95
80,97,Poison,Bug,127,95,Steel,Water,80,Fighting,Special,66
101,86,Water,Fairy,140,134,Flying,Mono,90,Water,Physical,42
129,118,Rock,Flying,90,98,Flying,Mono,80,Rock,Special,126
113,87,Ice,Flying,55,86,Poison,Mono,120,Flying,Physical,148
127,62,Psychic,Electric,130,72,Ice,Bug,75,Flying,Special,51
99,64,Ground,Mono,101,72,Ghost,Normal,100,Ground,Physical,60
91,133,Dragon,Mono,153,54,Psychic,Mono,85,Dragon,Special,136
140,85,Ice,Ground,150,114,Fighting,Mono,100,Ground,Physical,59
75,136,Fairy,Dark,139,100,Water,Fairy,95,Fairy,Special,76
137,43,Flying,Mono,62,162,Normal,Mono,120,Flying,Physical,162
154,81,Electric,Mono,117,135,Bug,Poison,75,Electric,Physical,65
137,43,Flying,Mono,55,86,Poison,Mono,120,Flying,Physical,187
97,70,Ghost,Normal,67,56,Flying,Dragon,70,Ghost,Physical,66
99,64,Ground,Mono,55,86,Poison,Mono,100,Ground,Physical,225
110,67,Fighting,Mono,71,43,Psychic,Mono,90,Normal,Special,58
60,78,Psychic,Mono,74,54,Fire,Bug,90,Psychic,Special,84
159,85,Rock,Mono,102,79,Fire,Ground,75,Rock,Physical,79
80,97,Poison,Bug,95,134,Dark,Fairy,90,Poison,Special,81
90,114,Grass,Poison,103,132,Fairy,Mono,90,Poison,Special,97
128,71,Grass,Dragon,110,113,Rock,Flying,90,Water,Physical,82
127,62,Psychic,Electric,140,103,Flying,Mono,75,Electric,Physical,86
53,104,Fairy,Flying,128,128,Grass,Dragon,95,Fairy,Special,91
106,56,Flying,Mono,103,112,Ice,Grass,120,Flying,Physical,168
99,64,Ground,Mono,103,82,Rock,Bug,100,Ground,Physical,58
154,116,Flying,Mono,150,158,Psychic,Poison,120,Flying,Physical,79
52,96,Normal,Mono,61,77,Fairy,Mono,80,Steel,Special,79
140,85,Ice,Ground,139,93,Ghost,Grass,75,Ice,Physical,149
52,96,Normal,Mono,128,87,Rock,Mono,90,Ground,Special,77
137,43,Flying,Mono,135,90,Fire,Normal,120,Flying,Physical,70
144,117,Water,Ice,137,88,Water,Mono,100,Ground,Physical,40
51,98,Fighting,Fairy,75,52,Flying,Mono,90,Electric,Special,136
72,117,Flying,Rock,124,113,Normal,Mono,75,Flying,Special,48
102,87,Water,Mono,152,94,Rock,Mono,90,Water,Special,103
72,117,Flying,Rock,124,78,Fighting,Fairy,75,Flying,Special,149
91,133,Dragon,Mono,130,120,Psychic,Mono,85,Dragon,Special,56
143,97,Dragon,Bug,150,114,Fighting,Mono,80,Dragon,Physical,46
99,120,Poison,Mono,130,110,Fairy,Rock,90,Grass,Special,89
143,97,Dragon,Bug,135,139,Fairy,Dark,90,Bug,Special,42
119,55,Bug,Mono,71,43,Psychic,Mono,80,Bug,Physical,253
63,91,Psychic,Poison,124,78,Fighting,Fairy,95,Fairy,Special,93
108,148,Dark,Mono,66,100,Dragon,Ground,80,Dark,Physical,79
70,131,Rock,Mono,140,87,Psychic,Electric,80,Rock,Special,75
148,81,Normal,Mono,102,124,Fighting,Ice,90,Fairy,Physical,113
49,124,Bug,Mono,148,63,Poison,Bug,90,Bug,Special,54
129,118,Rock,Flying,139,100,Water,Fairy,90,Poison,Special,81
90,114,Grass,Poison,148,124,Ice,Ground,90,Grass,Special,102
64,134,Flying,Mono,144,106,Dragon,Mono,75,Flying,Special,63
118,99,Fire,Ground,130,72,Ice,Bug,90,Fire,Special,325
128,71,Grass,Dragon,124,78,Fighting,Fairy,90,Grass,Special,55
94,165,Bug,Poison,135,139,Fairy,Dark,80,Poison,Physical,67
102,117,Ghost,Mono,149,112,Fairy,Mono,80,Ghost,Special,52
96,108,Normal,Mono,140,87,Psychic,Electric,90,Ground,Special,89
137,43,Flying,Mono,148,124,Ice,Ground,120,Flying,Physical,69
53,104,Fairy,Flying,157,90,Grass,Poison,120,Flying,Physical,50
159,85,Rock,Mono,74,54,Fire,Bug,75,Rock,Physical,367
127,62,Psychic,Electric,59,52,Ground,Mono,90,Psychic,Special,72
105,94,Fairy,Mono,70,96,Ice,Mono,90,Fairy,Physical,77
53,69,Psychic,Mono,140,87,Psychic,Electric,80,Ghost,Special,51
129,118,Rock,Flying,79,138,Water,Psychic,80,Rock,Special,43
128,71,Grass,Dragon,102,91,Flying,Mono,90,Water,Physical,48
114,118,Fairy,Mono,90,98,Flying,Mono,95,Fairy,Special,74
49,71,Ice,Grass,102,79,Fire,Ground,90,Grass,Physical,28
79,97,Flying,Mono,64,75,Water,Mono,120,Flying,Physical,97
122,101,Fairy,Rock,77,72,Flying,Electric,75,Rock,Physical,153
52,96,Normal,Mono,114,76,Dark,Mono,90,Normal,Special,74
128,94,Fire,Normal,140,87,Psychic,Electric,90,Normal,Special,63
91,133,Dragon,Mono,110,113,Rock,Flying,85,Dragon,Special,61
64,91,Psychic,Mono,153,54,Psychic,Mono,80,Ghost,Special,112
97,70,Ghost,Normal,104,110,Grass,Normal,120,Fighting,Physical,95
105,94,Fairy,Mono,117,80,Poison,Mono,95,Fairy,Special,35
128,71,Grass,Dragon,64,101,Water,Ice,90,Grass,Special,79
106,68,Grass,Normal,103,112,Ice,Grass,90,Normal,Special,38
72,80,Steel,Water,82,163,Poison,Mono,90,Water,Physical,45
88,149,Rock,Bug,144,106,Dragon,Mono,80,Ghost,Special,49
118,99,Fire,Ground,135,90,Fire,Normal,90,Ground,Special,130
83,54,Psychic,Mono,139,100,Water,Fairy,80,Psychic,Physical,32
53,69,Psychic,Mono,130,120,Psychic,Mono,80,Ghost,Special,37
156,131,Ice,Mono,148,63,Poison,Bug,90,Ice,Special,120
72,117,Flying,Rock,102,124,Fighting,Ice,120,Flying,Physical,106
97,70,Ghost,Normal,148,124,Ice,Ground,120,Fighting,Physical,68
156,131,Ice,Mono,128,87,Rock,Mono,120,Fighting,Physical,120
57,130,Fighting,Electric,130,120,Psychic,Mono,80,Rock,Special,37
127,62,Psychic,Electric,130,120,Psychic,Mono,75,Electric,Physical,43
83,54,Psychic,Mono,140,87,Psychic,Electric,90,Bug,Special,49
122,101,Fairy,Rock,135,90,Fire,Normal,80,Rock,Special,104
148,79,Dark,Mono,82,163,Poison,Mono,80,Dark,Physical,95
66,162,Dragon,Ground,110,113,Rock,Flying,90,Ice,Special,109
129,118,Rock,Flying,100,90,Dragon,Mono,80,Rock,Special,68
98,96,Fire,Bug,149,112,Fairy,Mono,90,Bug,Special,24
128,94,Fire,Normal,101,95,Ice,Flying,90,Fire,Special,119
107,128,Ghost,Grass,103,112,Ice,Grass,80,Bug,Physical,66
103,111,Bug,Mono,153,54,Psychic,Mono,90,Bug,Special,229
64,134,Flying,Mono,59,87,Poison,Mono,90,Ground,Special,112
136,73,Ghost,Mono,101,79,Bug,Mono,80,Rock,Special,67
91,133,Dragon,Mono,103,82,Rock,Bug,85,Dragon,Special,79
110,67,Fighting,Mono,150,158,Psychic,Poison,90,Normal,Special,15
144,117,Water,Ice,107,78,Fire,Ghost,90,Water,Special,170
79,97,Flying,Mono,126,149,Fairy,Flying,120,Flying,Physical,50
66,120,Fairy,Mono,93,129,Ghost,Mono,95,Fairy,Special,54
57,130,Fighting,Electric,82,163,Poison,Mono,80,Rock,Special,26
64,134,Flying,Mono,75,52,Flying,Mono,75,Flying,Special,112
106,56,Flying,Mono,150,114,Fighting,Mono,120,Flying,Physical,114
105,94,Fairy,Mono,110,113,Rock,Flying,75,Electric,Physical,58
154,81,Electric,Mono,144,106,Dragon,Mono,80,Steel,Physical,36
75,136,Fairy,Dark,150,114,Fighting,Mono,95,Fairy,Special,153
60,78,Psychic,Mono,157,90,Grass,Poison,90,Psychic,Special,147
109,89,Poison,Mono,114,58,Ice,Mono,90,Poison,Special,79
139,74,Ground,Mono,82,63,Rock,Mono,100,Ground,Physical,200
119,55,Bug,Mono,130,120,Psychic,Mono,80,Bug,Physical,97
169,126,Poison,Mono,110,113,Rock,Flying,90,Water,Special,84
73,91,Flying,Mono,59,52,Ground,Mono,120,Flying,Physical,94
148,81,Normal,Mono,117,80,Poison,Mono,85,Normal,Physical,66
128,94,Fire,Normal,55,86,Poison,Mono,75,Electric,Physical,77
159,85,Rock,Mono,135,90,Fire,Normal,75,Rock,Physical,174
122,101,Fairy,Rock,77,72,Flying,Electric,75,Rock,Physical,153
169,126,Poison,Mono,62,162,Normal,Mono,80,Poison,Physical,218
155,81,Rock,Mono,128,87,Rock,Mono,75,Rock,Physical,60
127,62,Psychic,Electric,119,88,Ghost,Mono,75,Electric,Physical,52
64,134,Flying,Mono,103,82,Rock,Bug,75,Flying,Special,80
83,54,Psychic,Mono,67,56,Flying,Dragon,80,Psychic,Physical,58
70,131,Rock,Mono,147,78,Normal,Mono,80,Rock,Special,87
